timestep,demand_el,pv,wind,demand_heat
103,252852.3098054,0.0,0.5154,504382.5256019013
104,281499.8280488,0.0,0.55825,558423.5104878193
105,295244.3599207,0.0,0.59368,561602.3919516967
106,298996.6448138,0.038505,0.56689,470474.4566538743
107,301895.0887412,0.10504,0.52071,310470.756305372
108,305864.2953932,0.12442,0.53577,169540.34474013487
109,306865.8277694,0.10471,0.54674,96708.11957708649
110,305222.7608297,0.085151,0.56219,94793.10730823327
111,301142.7856199,0.052307,0.59634,104368.16865249928
112,298585.8780789,0.016081,0.60329,147455.94470169622
113,301673.5516257,0.0,0.61437,296826.90167224564
114,315150.3928164,0.0,0.67381,663551.7511576329
115,318348.8349209,0.0,0.74123,851222.9535052464
116,313221.1737692,0.0,0.82476,691319.4290560043
117,299015.1062401,0.0,0.89963,572588.668387106
118,285884.4167923,0.0,0.94793,572588.668387106
119,280784.4477801,0.0,0.96764,456730.4261214876
120,262627.6350253,0.0,0.97588,454815.4138526344
121,249206.1781134,0.0,0.97923,422260.2052821301
122,239144.7007861,0.0,0.96818,367682.3556198139
123,232249.3580674,0.0,0.96364,347574.7267968554
124,228247.8439193,0.0,0.96655,335127.1470493096
125,228732.4563594,0.0,0.95912,371512.3801575204
126,233227.8136606,0.0,0.9409,398322.5519214651
127,249533.8684301,0.0,0.90182,455772.91998706106
128,274466.0246328,0.0,0.84907,504605.7328428176
129,285898.2628621,0.0,0.77243,507478.2512460973
130,289996.6994981,0.065084,0.69315,425132.7236854099
131,294847.4392555,0.17832,0.64418,280549.2973869934
132,299712.0250825,0.22241,0.65718,153200.98150825582
133,299970.4850506,0.20579,0.71166,31502.16422312715
134,295973.5862591,0.16543,0.741,28876.98387119989
135,291344.3836172,0.10124,0.78431,29752.043988508973
136,289456.7027792,0.033614,0.84363,63004.3284462543
137,292567.4531088,0.0,0.89667,169761.662757963
138,307031.980606,0.0,0.94979,540787.1524970161
139,312219.6413931,0.0,0.97085,912687.7023533784
140,306639.6752973,0.0,0.9807,658045.2082164339
141,292188.9938699,0.0,0.98644,532911.6114412342
142,282561.3600604,0.0,0.99008,497034.14663156174
143,279565.9936451,0.0,0.99254,413028.3753698893
144,263587.6291923,0.0,0.99346,509284.98827388894
145,249510.7916472,0.0,0.99428,470782.3431122891
146,238558.5505015,0.0,0.99534,356149.46774479863
147,232106.2820136,0.0,0.9965,340398.38563323504
148,228478.6117479,0.0,0.99709,306271.0410581806
149,230952.4428706,0.0,0.99769,352649.2272755624
150,241156.9962516,0.0,0.99813,452406.0806487983
151,266139.9213767,0.0,0.99826,441030.29912378016
