timestep,heat_demand,electricity_demand,PV,COP_AIR-HP,electricity_price_buy,electricity_price_sell
78,8.918163309,0.146599087,0,1.843528614,0.190393368,-0.087343368
79,11.0086575,0.341874764,0,1.827019403,0.195954661,-0.092904661
80,10.41411328,0.491130663,0,1.824296572,0.207845036,-0.104795036
81,9.972999829,0.50669199,0.0115265,1.837992492,0.208799586,-0.105749586
82,9.416813301,0.4675989,0.028363366,1.860338906,0.208260058,-0.105210058
83,8.879805617,0.441125667,0.028764641,1.891967543,0.207658276,-0.104608276
84,8.611301776,0.588294071,0.023008341,1.906702492,0.204234346,-0.101184346
85,8.419513318,0.784518609,0.011483663,1.943020635,0.200416145,-0.097366145
86,8.515407547,0.491415321,0.034059989,1.939941363,0.20012563,-0.09707563
87,8.688017159,0.437804652,0.028282726,1.92772126,0.199731359,-0.096681359
88,9.014057538,0.397857587,0.011303748,1.924690252,0.20031239,-0.09726239
89,9.28256138,0.399375765,0,1.906702492,0.202179988,-0.099129988
90,9.64695945,0.488284079,0,1.906702492,0.206475464,-0.103425464
91,9.74285368,0.794766312,0,1.897834109,0.205313403,-0.102263403
92,9.685317142,0.669042176,0,1.897834109,0.200727412,-0.097677412
93,9.167488305,0.638488839,0,1.897834109,0.189708582,-0.086658582
94,8.055115247,0.535062946,0,1.90373717,0.187322207,-0.084272207
95,5.600222981,0.442833617,0,1.90373717,0.184271796,-0.081221796
96,4.487849923,0.327926501,0,1.900781056,0.158229177,-0.055179177
97,4.236816639,0.221274479,0,1.900781056,0.148870435,-0.045820435
98,4.331812527,0.200779073,0,1.897834109,0.145176741,-0.042126741
99,4.502805127,0.171079711,0,1.906702492,0.143101632,-0.040051632
100,4.863789504,0.146124656,0,1.906702492,0.138785405,-0.035735405
101,6.117735236,0.14849681,0,1.906702492,0.131169754,-0.028119754
102,8.834617655,0.177911513,0,1.900781056,0.13888916,-0.03583916
103,10.90552803,0.341874764,0,1.900781056,0.141503798,-0.038453798
104,10.31655352,0.491130663,0.002868142,1.874583461,0.152730138,-0.049680138
105,9.879572431,0.45431484,0.150757905,1.871717125,0.169061247,-0.066011247
106,9.328596276,0.525669218,0.455521377,1.871717125,0.177008915,-0.073958915
107,8.796619299,0.441125667,0.560072838,1.88034255,0.188193753,-0.085143753
108,8.53063081,0.449096103,0.248974515,1.877458589,0.196390434,-0.093340434
109,8.340639033,0.496064742,0.150072175,1.883235385,0.199627604,-0.096577604
110,8.435634922,0.491415321,0.122214788,1.886137134,0.200416145,-0.097366145
111,8.606627521,0.437804652,0.064448246,1.891967543,0.200789665,-0.097739665
112,8.929613543,0.545690194,0.02248573,1.897834109,0.203487307,-0.100437307
113,9.195602032,0.404974047,0.006673508,1.900781056,0.210542678,-0.107492678
114,9.556586409,0.488284079,0,1.912660938,0.211165211,-0.108115211
115,9.651582298,0.630708175,0,1.915654147,0.220959726,-0.117909726
116,9.594584765,0.709938103,0,1.91865674,0.216394485,-0.113344485
117,9.081606965,0.638488839,0,1.924690252,0.202512006,-0.099462006
118,7.979654656,0.535062946,0,1.92772126,0.200748163,-0.097698163
119,5.547759903,0.464942088,0,1.92772126,0.199669106,-0.096619106
120,4.445807594,0.321189585,0,1.936871835,0.196722451,-0.093672451
121,4.022918645,0.221274479,0,1.939941363,0.197407237,-0.094357237
122,4.113118614,0.163678592,0,1.939941363,0.192074207,-0.089024207
123,4.27547856,0.150109874,0,1.943020635,0.193443779,-0.090393779
124,4.618238444,0.146124656,0,1.936871835,0.192696739,-0.089646739
125,5.808878043,0.14849681,0,1.939941363,0.184832076,-0.081782076
126,8.388597174,0.152102483,0,1.943020635,0.190932897,-0.087882897
127,10.35495651,0.155423498,0,1.946109698,0.193049508,-0.089999508
128,9.7957167,0.491130663,0.002878851,1.939941363,0.194958608,-0.091908608
129,9.38079684,0.50669199,0.028711095,1.939941363,0.197718503,-0.094668503
130,8.857637016,0.4675989,0.244665413,1.939941363,0.203860826,-0.100810826
131,8.352517186,0.441125667,0.5116665,1.949208599,0.21039742,-0.10734742
132,8.099957271,0.449096103,0.14495092,1.955436102,0.217598049,-0.114548049
133,7.919557332,0.63232124,0.098761656,1.943020635,0.218013071,-0.114963071
134,8.009757301,0.656706978,0.104301904,1.949208599,0.207181001,-0.104131001
135,8.172117247,0.437804652,0.06232476,1.952317384,0.201764966,-0.098714966
136,8.478797143,0.397857587,0.017131641,1.952317384,0.200063377,-0.097013377
137,8.731357058,0.399375765,0,1.949208599,0.206579219,-0.103529219
138,9.074116943,0.488284079,0,1.943020635,0.224674171,-0.121624171
139,9.164316912,0.630708175,0,1.946109698,0.232850101,-0.129800101
140,9.110196931,0.79751801,0,1.949208599,0.232497332,-0.129447332
141,8.623117095,0.607745729,0,1.946109698,0.230069455,-0.127019455
142,7.576797447,0.535062946,0,1.933812006,0.20792804,-0.10487804
143,5.267678225,0.442833617,0,1.939941363,0.214630643,-0.111580643
144,4.221358578,0.327926501,0,1.943020635,0.204483359,-0.101433359
145,3.851772399,0.221274479,0,1.936871835,0.188567272,-0.085517272
146,3.938135009,0.163678592,0,1.933812006,0.192613735,-0.089563735
147,4.093587706,0.15978826,0,1.933812006,0.19232322,-0.08927322
148,4.421765624,0.156182587,0,1.939941363,0.188733281,-0.085683281
149,5.561752073,0.14849681,0,1.936871835,0.188671028,-0.085621028
150,8.031722715,0.177911513,0,1.933812006,0.191866696,-0.088816696
151,9.914427609,0.341874764,0,1.933812006,0.208778835,-0.105728835
152,9.378979428,0.491130663,0.002906695,1.939941363,0.235423236,-0.132373236
153,8.981711423,0.50669199,0.031879027,1.943020635,0.24691934,-0.14386934
154,8.480808286,0.537814644,0.089141604,1.939941363,0.248537926,-0.145487926
155,7.997177671,0.66107174,0.114411909,1.9585648,0.245757279,-0.142707279
156,7.755362363,0.449096103,0.094411819,2.000168301,0.240860022,-0.137810022
157,7.582637144,0.496064742,0.083005627,1.980749191,0.235796756,-0.132746756
158,7.668999753,0.491415321,0.060184561,1.980749191,0.231563533,-0.128513533
159,7.824452451,0.437804652,0.032963953,1.980749191,0.222682066,-0.119632066
160,8.118085325,0.397857587,0.034356176,1.980749191,0.20354956,-0.10049956
161,8.359900632,0.549390753,0.002898128,1.971180354,0.203570311,-0.100520311
162,8.68807855,0.477087514,0,1.964852327,0.203902329,-0.100852329
163,8.774441159,0.630708175,0,1.955436102,0.192468477,-0.089418477
164,8.722623593,0.709938103,0,1.9585648,0.180308338,-0.077258338
165,8.2562655,0.638488839,0,1.946109698,0.178046469,-0.074996469
166,7.254459226,0.535062946,0,1.943020635,0.159536496,-0.056486496
167,5.043576414,0.442833617,0,1.933812006,0.136253772,-0.033203772
168,4.04177014,0.394441686,0,1.933812006,0.096868201,0.006181799
169,3.742238344,0.296708961,0,1.933812006,0.130277457,-0.027227457
170,3.826145033,0.163678592,0,1.92772126,0.136440531,-0.033390531
171,3.977177074,0.150109874,0,1.909677067,0.109194349,-0.006144349
172,4.296022493,0.146124656,0,1.912660938,0.122786314,-0.019736314
173,5.403590792,0.14849681,0,1.906702492,0.131564025,-0.028514025
174,7.803322107,0.177911513,0,1.92166876,0.131584776,-0.028534776
175,9.632487934,0.201538162,0,1.924690252,0.167359657,-0.064309657
176,9.11226646,0.189772281,0.002917404,1.933812006,0.184085037,-0.081035037
177,8.726295689,0.50669199,0.017472195,1.936871835,0.190434871,-0.087384871
178,8.239636891,0.4675989,0.077905848,1.961703526,0.184105788,-0.081055788
179,7.769759431,0.441125667,0.11166869,1.968011254,0.184043534,-0.080993534
180,7.534820701,0.449096103,0.148351902,1.971180354,0.1900406,-0.0869906
181,7.367007322,0.496064742,0.329950389,1.990411382,0.184230294,-0.081180294
182,7.450914011,0.629379769,0.600084776,2.000168301,0.182715465,-0.079665465
183,7.601946052,0.516655035,0.325962542,2.003441899,0.18396053,-0.08091053
184,7.887228796,0.397857587,0.039634113,2.00672623,0.187674975,-0.084624975
185,8.122167526,0.399375765,0.002885276,2.000168301,0.166114592,-0.063064592
186,8.441012945,0.488284079,0,2.003441899,0.18775798,-0.08470798
187,8.524919635,0.630708175,0,1.996905383,0.187737229,-0.084687229
188,8.474575621,0.709938103,0,1.980749191,0.17177964,-0.06872964
189,8.021479499,0.652626874,0,1.974359677,0.175079063,-0.072029063
190,7.048161903,0.514377767,0,1.968011254,0.167691675,-0.064641675
191,4.900150656,0.442833617,0,1.974359677,0.154722243,-0.051672243
192,3.92683306,0.327926501,0,1.968011254,0.13984371,-0.03679371
193,3.877633004,0.221274479,0,1.952317384,0.134635187,-0.031585187
194,3.964575448,0.163678592,0,1.939941363,0.10807379,-0.00502379
195,4.121071848,0.150109874,0,1.943020635,0.100167624,0.002882376
196,4.451453135,0.150679191,0,1.936871835,0.113884095,-0.010834095
197,5.599093396,0.146978632,0,1.936871835,0.122516549,-0.019466549
198,8.085647296,0.177911513,0,1.924690252,0.145778522,-0.042728522
199,9.980992576,0.341874764,0,1.915654147,0.169787535,-0.066737535
200,9.441949423,0.491130663,0.002914191,1.915654147,0.184126539,-0.081076539
201,9.04201418,0.50669199,0.160364978,1.91865674,0.198839062,-0.095789062
202,8.537748005,0.4675989,0.42025624,1.92772126,0.197427988,-0.094377988
203,8.050870318,0.561156635,0.49591766,1.939941363,0.197241228,-0.094191228
204,7.807431475,0.769621485,0.199320735,1.939941363,0.188089997,-0.085039997
205,7.633546587,0.496064742,0.152186564,1.939941363,0.183607762,-0.080557762
206,7.720489031,0.491415321,0.093598989,1.949208599,0.183296495,-0.080246495
207,7.87698543,0.437804652,0.045820908,1.949208599,0.186533665,-0.083483665
208,8.17258974,0.397857587,0.022758304,1.939941363,0.1967017,-0.0936517
209,8.416028583,0.399375765,0.002878851,1.92166876,0.204732372,-0.101682372
210,8.746409871,0.685077934,0,1.88904784,0.209131604,-0.106081604
211,8.833352315,0.593607695,0,1.88034255,0.205500163,-0.102450163
212,8.781186848,0.709938103,0,1.877458589,0.205500163,-0.102450163
213,8.311697651,0.638488839,0,1.88034255,0.202989281,-0.099939281
214,7.3031653,0.535062946,0,1.88034255,0.200291639,-0.097241639
