timeindex,Strombedarf_migration,Wärmebedarf_migration,Solarkollektor_migration
2022-01-02 01:00:00,3.9706996227274995,17.03563336457742,0.0
2022-01-02 02:00:00,2.9371598838786177,19.37385755187236,0.0
2022-01-02 03:00:00,2.6936735862585346,19.54087356525057,0.0
2022-01-02 04:00:00,2.622160128216273,22.046113765923717,0.0
2022-01-02 05:00:00,2.6647276627652388,23.716273899705822,0.0
2022-01-02 06:00:00,2.729430315279666,35.90844287631515,0.0
2022-01-02 07:00:00,2.789024863648218,49.603755973328376,0.0
2022-01-02 08:00:00,8.813182353017812,49.10270793319374,0.0
2022-01-02 09:00:00,9.092425379659026,44.50976756529297,0.0
2022-01-02 10:00:00,8.390912410292074,41.16944729772876,0.0
2022-01-02 11:00:00,7.915858724725618,38.91473111712293,0.26703678245716705
2022-01-02 12:00:00,10.556748568143439,34.82283878935679,0.34572608242289166
2022-01-02 13:00:00,8.90172282487966,35.24037882280231,0.28327759871911323
2022-01-02 14:00:00,11.784396264535602,33.57021868902021,0.3316347156219372
2022-01-02 15:00:00,7.856264176357069,33.4867106823311,0.14576368664059847
2022-01-02 16:00:00,7.139426894552488,33.820742709087526,0.0
2022-01-02 17:00:00,7.166670116663828,37.91263503685367,0.0
2022-01-02 18:00:00,12.29350397774123,41.25295530441787,0.0
2022-01-02 19:00:00,11.31785608587894,42.338559391376236,0.0
2022-01-02 20:00:00,12.739611739814386,44.17573553853654,0.0
2022-01-02 21:00:00,10.905802351444954,44.50976756529297,0.0
2022-01-02 22:00:00,9.601533092864655,41.58698733117429,0.0
2022-01-02 23:00:00,7.946507349600874,31.7330425418599,0.0
2022-01-03 00:00:00,7.0781296448019795,19.624381571939676,0.0
2022-01-03 01:00:00,3.9706996227274995,18.80531788079059,0.0
2022-01-03 02:00:00,2.9371598838786177,21.386439942859884,0.0
2022-01-03 03:00:00,2.6936735862585346,21.57080580443626,0.0
2022-01-03 04:00:00,2.802646474703887,24.336293728081934,0.0
2022-01-03 05:00:00,2.6647276627652388,26.179952343845724,0.0
2022-01-03 06:00:00,2.729430315279666,39.63866023892133,0.0
2022-01-03 07:00:00,6.1348330791969055,54.756660888184356,0.0
2022-01-03 08:00:00,8.813182353017812,54.203563303455226,0.0
2022-01-03 09:00:00,9.092425379659026,49.13350211010482,0.0
2022-01-03 10:00:00,8.390912410292074,45.44618487857725,0.1047394978052418
2022-01-03 11:00:00,11.862720528105699,42.95724574729615,0.20817548310149245
2022-01-03 12:00:00,10.556748568143439,38.44028213867488,0.3154320962135933
2022-01-03 13:00:00,8.90172282487966,38.90119679261582,0.22338684837708805
2022-01-03 14:00:00,8.818290457163688,37.05753817685204,0.046779596712973257
2022-01-03 15:00:00,7.856264176357069,36.96535524606385,0.0
2022-01-03 16:00:00,7.139426894552488,37.33408696921661,0.0
2022-01-03 17:00:00,7.166670116663828,41.851050577837874,0.0
2022-01-03 18:00:00,12.29350397774123,45.53836780936544,0.0
2022-01-03 19:00:00,11.31785608587894,46.736745909611905,0.0
2022-01-03 20:00:00,12.739611739814386,48.764770386952065,0.0
2022-01-03 21:00:00,11.457477599199546,49.13350211010482,0.0
2022-01-03 22:00:00,9.601533092864655,45.90709953251819,0.0
2022-01-03 23:00:00,7.946507349600874,35.02951369951188,0.0
2022-01-04 00:00:00,7.0781296448019795,21.662988735224452,0.0
2022-01-04 01:00:00,5.324347221384601,18.61752285137036,0.0
2022-01-04 02:00:00,2.9371598838786177,21.172869125087853,0.0
2022-01-04 03:00:00,2.6936735862585346,21.35539385892482,0.0
2022-01-04 04:00:00,2.622160128216273,24.093264866479288,0.0
2022-01-04 05:00:00,2.6647276627652388,25.91851220484893,0.0
2022-01-04 06:00:00,2.729430315279666,39.24281777494732,0.0
2022-01-04 07:00:00,6.1348330791969055,54.209845949578394,0.0
2022-01-04 08:00:00,3.405402763917238,53.662271748067496,0.0
2022-01-04 09:00:00,9.092425379659026,48.64284156755098,0.0
